%time,field.header.seq,field.header.stamp,field.header.frame_id,field.info.header.seq,field.info.header.stamp,field.info.header.frame_id,field.info.vehid,field.info.type,field.info.msg_ver,field.info.comm,field.speed,field.position.x,field.position.y,field.position.z,field.yaw,field.wheel_angle,field.quality,field.distance,field.status,field.direction,field.weight,field.correction.x,field.correction.y,field.correction.z,field.reason.reason,field.reason.point.x,field.reason.point.y,field.reason.point.z,field.reason.state
1687473265246906473,2086553,1687473265243439912,,0,0,,1007002,,,,5.19196748734,422.260509922,-1500.41634858,281.836144927,1.5502063036,-0.0114583335817,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473265265414932,2086554,1687473265262648105,,0,0,,1007002,,,,5.16398954391,422.262700397,-1500.41889743,281.83934791,1.5499111414,-0.0114583335817,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473265279963621,2086555,1687473265276156902,,0,0,,1007002,,,,5.16515636444,422.263641065,-1500.3478553,281.831338321,1.54950225353,-0.0114583335817,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473265299586895,2086556,1687473265296175956,,0,0,,1007002,,,,5.15533542633,422.269192709,-1500.17556723,281.807160075,1.54904818535,-0.0114583335817,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473265314812681,2086557,1687473265311990022,,0,0,,1007002,,,,5.15659284592,422.269551314,-1500.10285035,281.798550973,1.54884624481,-0.0145833333954,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473265333879693,2086558,1687473265328691959,,0,0,,1007002,,,,5.15015459061,422.276276276,-1499.92266468,281.782442614,1.54840409756,-0.0145833333954,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473265346150261,2086559,1687473265343074083,,0,0,,1007002,,,,5.15159702301,422.276337081,-1499.84324825,281.773387476,1.54803049564,-0.0166666675359,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473265363100250,2086560,1687473265359946966,,0,0,,1007002,,,,5.1531920433,422.276353088,-1499.75748817,281.763590583,1.54784941673,-0.0166666675359,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473265381648554,2086561,1687473265378765106,,0,0,,1007002,,,,5.15489053726,422.276314752,-1499.6672578,281.753262426,1.54749715328,-0.0187500007451,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473265400868329,2086562,1687473265395929098,,0,0,,1007002,,,,5.14346122742,422.284105485,-1499.66482257,281.759808443,1.54718983173,-0.0187500007451,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473265422965613,2086563,1687473265415771961,,0,0,,1007002,,,,5.14552402496,422.283827199,-1499.55901971,281.747490547,1.54700052738,-0.0187500007451,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473265435898695,2086564,1687473265432034969,,0,0,,1007002,,,,5.1470656395,422.283571728,-1499.48137987,281.738433634,1.54667341709,-0.0187500007451,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473265450734577,2086565,1687473265447416067,,0,0,,1007002,,,,5.14865159988,422.283265398,-1499.40214335,281.729175043,1.54650366306,-0.0187500007451,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473265466455009,2086566,1687473265463634967,,0,0,,1007002,,,,5.14385700226,422.295468254,-1499.41384772,281.73773562,1.54639077187,-0.0187500007451,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473265481698192,2086567,1687473265477160930,,0,0,,1007002,,,,5.1453537941,422.29589026,-1499.33983354,281.729486796,1.54603779316,-0.0187500007451,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473265499766121,2086568,1687473265495980024,,0,0,,1007002,,,,5.15644359589,422.307183743,-1499.16326108,281.708019499,1.54571247101,-0.0187500007451,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473265516898978,2086569,1687473265512959957,,0,0,,1007002,,,,5.15806913376,422.307895157,-1499.08517809,281.698802553,1.54554474354,-0.0197916664183,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473265535118785,2086570,1687473265528458118,,0,0,,1007002,,,,5.14199733734,422.315773086,-1498.91125666,281.676580108,1.54506421089,-0.0197916664183,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1687473265545756611,2086571,1687473265542799949,,0,0,,1007002,,,,5.1436624527,422.31648895,-1498.83516237,281.667802125,1.54471802711,-0.0187500007451,4,0,1,1,0,0.0,0.0,0.0,,0.0,0.0,0.0,
